source,seed,true_label,pred_AK,pred_BCC,pred_MEL,pred_NEV,pred_SEK,pred_SCC
cross_attention_fusion (headline, PAD-UFES-20 test),0,AK,86,12,0,0,7,4
cross_attention_fusion (headline, PAD-UFES-20 test),0,BCC,6,116,0,1,1,9
cross_attention_fusion (headline, PAD-UFES-20 test),0,MEL,0,0,5,3,0,0
cross_attention_fusion (headline, PAD-UFES-20 test),0,NEV,0,2,1,30,2,0
cross_attention_fusion (headline, PAD-UFES-20 test),0,SEK,0,2,1,6,28,0
cross_attention_fusion (headline, PAD-UFES-20 test),0,SCC,3,18,1,0,2,8
cross_attention_fusion (headline, PAD-UFES-20 test),1,AK,95,5,0,0,5,4
cross_attention_fusion (headline, PAD-UFES-20 test),1,BCC,17,99,0,1,2,14
cross_attention_fusion (headline, PAD-UFES-20 test),1,MEL,0,0,6,2,0,0
cross_attention_fusion (headline, PAD-UFES-20 test),1,NEV,1,3,0,26,5,0
cross_attention_fusion (headline, PAD-UFES-20 test),1,SEK,2,1,1,3,30,0
cross_attention_fusion (headline, PAD-UFES-20 test),1,SCC,5,18,0,0,5,4
cross_attention_fusion (headline, PAD-UFES-20 test),2,AK,87,5,0,0,5,12
cross_attention_fusion (headline, PAD-UFES-20 test),2,BCC,7,113,0,2,0,11
cross_attention_fusion (headline, PAD-UFES-20 test),2,MEL,0,0,5,3,0,0
cross_attention_fusion (headline, PAD-UFES-20 test),2,NEV,0,3,0,31,1,0
cross_attention_fusion (headline, PAD-UFES-20 test),2,SEK,1,1,0,3,31,1
cross_attention_fusion (headline, PAD-UFES-20 test),2,SCC,7,15,0,0,0,10
cross_attention_fusion (headline, PAD-UFES-20 test),SUMMED_3_SEEDS_n1062,AK,268,22,0,0,17,20
cross_attention_fusion (headline, PAD-UFES-20 test),SUMMED_3_SEEDS_n1062,BCC,30,328,0,4,3,34
cross_attention_fusion (headline, PAD-UFES-20 test),SUMMED_3_SEEDS_n1062,MEL,0,0,16,8,0,0
cross_attention_fusion (headline, PAD-UFES-20 test),SUMMED_3_SEEDS_n1062,NEV,1,8,1,87,8,0
cross_attention_fusion (headline, PAD-UFES-20 test),SUMMED_3_SEEDS_n1062,SEK,3,4,2,12,89,1
cross_attention_fusion (headline, PAD-UFES-20 test),SUMMED_3_SEEDS_n1062,SCC,15,51,1,0,7,22
