2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | ======================================================================
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | PAD-UFES-20 DATA CLEANING - START
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | ======================================================================
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | --- Step 1: Column standardization ---
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Loaded raw metadata: 2298 rows x 26 columns
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Renamed columns: {'gender': 'sex', 'region': 'anatomical_site', 'img_id': 'image_id', 'diagnostic': 'diagnostic_code'}
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Cast 8 plain boolean columns to nullable boolean dtype (NA preserved)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning |   itch: 6 'UNK' values mapped to NA (hidden missingness not caught by the audit's isna() check)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning |   grew: 402 'UNK' values mapped to NA (hidden missingness not caught by the audit's isna() check)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning |   hurt: 10 'UNK' values mapped to NA (hidden missingness not caught by the audit's isna() check)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning |   changed: 396 'UNK' values mapped to NA (hidden missingness not caught by the audit's isna() check)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning |   bleed: 6 'UNK' values mapped to NA (hidden missingness not caught by the audit's isna() check)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning |   elevation: 2 'UNK' values mapped to NA (hidden missingness not caught by the audit's isna() check)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Cast 6 UNK-coded columns to nullable boolean dtype (UNK -> NA)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Normalized 5 categorical text columns (trim + uppercase)
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | All 2298 image_id values resolved to a file under data/raw/
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\interim\PAD_UFES20\metadata_standardized.csv
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Symptom columns (conceptual group): ['itch', 'grew', 'hurt', 'changed', 'bleed', 'elevation']
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Clinical feature columns (conceptual group): ['smoke', 'drink', 'pesticide', 'skin_cancer_history', 'cancer_history', 'has_piped_water', 'has_sewage_system', 'fitspatrick', 'background_father', 'background_mother', 'diameter_1', 'diameter_2', 'biopsed']
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | --- Step 2: Value validation ---
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Value validation: no anomalies flagged
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\interim\PAD_UFES20\value_validation_report.csv
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | --- Step 3: Label standardization ---
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Label standardization applied: 6 codes -> 6 standardized labels
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\label_mapping.csv
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | Updated -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\interim\PAD_UFES20\metadata_standardized.csv
2026-07-07 20:27:15 | INFO     | pad_ufes20_cleaning | --- Step 4: Patient-wise split ---
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | train: 1606 images, 948 patients
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | val: 338 images, 205 patients
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | test: 354 images, 220 patients
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Split seed: 42 | Target ratios: {'train': 0.7, 'val': 0.15, 'test': 0.15}
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\patient_split_assignment.csv
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\metadata_train.csv
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\metadata_val.csv
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\metadata_test.csv
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | --- Step 5: Split quality report ---
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | No patient overlap between train/val/test - split is leakage-free
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | train: 1606 images (69.9% of total), 948 patients
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | val: 338 images (14.7% of total), 205 patients
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | test: 354 images (15.4% of total), 220 patients
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\split_quality_report.csv
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | --- Step 6: Dataset description ---
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | Dataset description written -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\processed\PAD_UFES20\dataset_description.md
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | ======================================================================
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | PAD-UFES-20 DATA CLEANING - COMPLETE
2026-07-07 20:27:16 | INFO     | pad_ufes20_cleaning | ======================================================================
