relative_path,status,error_message,width,height,mode
HAM10000_images_part_1\ISIC_0024306.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024307.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024308.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024309.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024310.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024311.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024312.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024313.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024314.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024315.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024316.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024317.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024318.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024319.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024320.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024321.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024322.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024323.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024324.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024325.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024326.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024327.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024328.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024329.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024330.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024331.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024332.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024333.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024334.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024335.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024336.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024337.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024338.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024339.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024340.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024341.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024342.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024343.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024344.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024345.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024346.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024347.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024348.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024349.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024350.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024351.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024352.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024353.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024354.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024355.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024356.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024357.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024358.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024359.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024360.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024361.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024362.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024363.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024364.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024365.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024366.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024367.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024368.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024369.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024370.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024371.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024372.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024373.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024374.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024375.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024376.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024377.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024378.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024379.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024380.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024381.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024382.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024383.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024384.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024385.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024386.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024387.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024388.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024389.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024390.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024391.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024392.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024393.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024394.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024395.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024396.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024397.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024398.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024399.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024400.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024401.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024402.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024403.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024404.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024405.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024406.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024407.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024408.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024409.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024410.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024411.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024412.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024413.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024414.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024415.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024416.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024417.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024418.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024419.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024420.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024421.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024422.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024423.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024424.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024425.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024426.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024427.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024428.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024429.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024430.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024431.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024432.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024433.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024434.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024435.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024436.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024437.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024438.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024439.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024440.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024441.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024442.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024443.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024444.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024445.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024446.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024447.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024448.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024449.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024450.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024451.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024452.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024453.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024454.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024455.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024456.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024457.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024458.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024459.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024460.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024461.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024462.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024463.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024464.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024465.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024466.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024467.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024468.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024469.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024470.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024471.jpg,OK,,600,450,RGB
HAM10000_images_part_1\ISIC_0024472.jpg,OK,,600,450,RGB
