source_folder,filename,extension,size_bytes,relative_path
images,ISIC_0000000.jpg,.jpg,54143,images\ISIC_0000000.jpg
images,ISIC_0000001.jpg,.jpg,42794,images\ISIC_0000001.jpg
images,ISIC_0000002.jpg,.jpg,62351,images\ISIC_0000002.jpg
images,ISIC_0000003.jpg,.jpg,49934,images\ISIC_0000003.jpg
images,ISIC_0000004.jpg,.jpg,53851,images\ISIC_0000004.jpg
images,ISIC_0000006.jpg,.jpg,62960,images\ISIC_0000006.jpg
images,ISIC_0000007.jpg,.jpg,58391,images\ISIC_0000007.jpg
images,ISIC_0000008.jpg,.jpg,47049,images\ISIC_0000008.jpg
images,ISIC_0000009.jpg,.jpg,53011,images\ISIC_0000009.jpg
images,ISIC_0000010.jpg,.jpg,46752,images\ISIC_0000010.jpg
images,ISIC_0000011.jpg,.jpg,45851,images\ISIC_0000011.jpg
images,ISIC_0000012.jpg,.jpg,61965,images\ISIC_0000012.jpg
images,ISIC_0000013.jpg,.jpg,38863,images\ISIC_0000013.jpg
images,ISIC_0000014.jpg,.jpg,44244,images\ISIC_0000014.jpg
images,ISIC_0000015.jpg,.jpg,49699,images\ISIC_0000015.jpg
images,ISIC_0000016.jpg,.jpg,38282,images\ISIC_0000016.jpg
images,ISIC_0000017.jpg,.jpg,108078,images\ISIC_0000017.jpg
images,ISIC_0000018.jpg,.jpg,84245,images\ISIC_0000018.jpg
images,ISIC_0000019.jpg,.jpg,113081,images\ISIC_0000019.jpg
images,ISIC_0000020.jpg,.jpg,117320,images\ISIC_0000020.jpg
images,ISIC_0000021.jpg,.jpg,120083,images\ISIC_0000021.jpg
images,ISIC_0000022.jpg,.jpg,104724,images\ISIC_0000022.jpg
images,ISIC_0000023.jpg,.jpg,81630,images\ISIC_0000023.jpg
images,ISIC_0000024.jpg,.jpg,84653,images\ISIC_0000024.jpg
images,ISIC_0000025.jpg,.jpg,104158,images\ISIC_0000025.jpg
images,ISIC_0000026.jpg,.jpg,75273,images\ISIC_0000026.jpg
images,ISIC_0000027.jpg,.jpg,90169,images\ISIC_0000027.jpg
images,ISIC_0000028.jpg,.jpg,102958,images\ISIC_0000028.jpg
images,ISIC_0000029.jpg,.jpg,111680,images\ISIC_0000029.jpg
images,ISIC_0000030.jpg,.jpg,100483,images\ISIC_0000030.jpg
images,ISIC_0000031.jpg,.jpg,112446,images\ISIC_0000031.jpg
images,ISIC_0000032.jpg,.jpg,120091,images\ISIC_0000032.jpg
images,ISIC_0000034.jpg,.jpg,107021,images\ISIC_0000034.jpg
images,ISIC_0000035.jpg,.jpg,97796,images\ISIC_0000035.jpg
images,ISIC_0000036.jpg,.jpg,106253,images\ISIC_0000036.jpg
images,ISIC_0000037.jpg,.jpg,91224,images\ISIC_0000037.jpg
images,ISIC_0000038.jpg,.jpg,98985,images\ISIC_0000038.jpg
images,ISIC_0000039.jpg,.jpg,90700,images\ISIC_0000039.jpg
images,ISIC_0000040.jpg,.jpg,76217,images\ISIC_0000040.jpg
images,ISIC_0000041.jpg,.jpg,75767,images\ISIC_0000041.jpg
images,ISIC_0000042.jpg,.jpg,107614,images\ISIC_0000042.jpg
images,ISIC_0000043.jpg,.jpg,149170,images\ISIC_0000043.jpg
images,ISIC_0000044.jpg,.jpg,111916,images\ISIC_0000044.jpg
images,ISIC_0000045.jpg,.jpg,102116,images\ISIC_0000045.jpg
images,ISIC_0000046.jpg,.jpg,88938,images\ISIC_0000046.jpg
images,ISIC_0000047.jpg,.jpg,75501,images\ISIC_0000047.jpg
images,ISIC_0000048.jpg,.jpg,112887,images\ISIC_0000048.jpg
images,ISIC_0000049.jpg,.jpg,125819,images\ISIC_0000049.jpg
images,ISIC_0000050.jpg,.jpg,84895,images\ISIC_0000050.jpg
images,ISIC_0000051.jpg,.jpg,97629,images\ISIC_0000051.jpg
images,ISIC_0000052.jpg,.jpg,105727,images\ISIC_0000052.jpg
images,ISIC_0000053.jpg,.jpg,102978,images\ISIC_0000053.jpg
images,ISIC_0000054.jpg,.jpg,89170,images\ISIC_0000054.jpg
images,ISIC_0000055.jpg,.jpg,83611,images\ISIC_0000055.jpg
images,ISIC_0000056.jpg,.jpg,97404,images\ISIC_0000056.jpg
images,ISIC_0000057.jpg,.jpg,85805,images\ISIC_0000057.jpg
images,ISIC_0000058.jpg,.jpg,91697,images\ISIC_0000058.jpg
images,ISIC_0000059.jpg,.jpg,86214,images\ISIC_0000059.jpg
images,ISIC_0000060.jpg,.jpg,103274,images\ISIC_0000060.jpg
images,ISIC_0000061.jpg,.jpg,90528,images\ISIC_0000061.jpg
