relative_path,status,error_message,width,height,mode
images\ISIC_0000000.jpg,OK,,1022,767,RGB
images\ISIC_0000001.jpg,OK,,1022,767,RGB
images\ISIC_0000002.jpg,OK,,1022,767,RGB
images\ISIC_0000003.jpg,OK,,1022,767,RGB
images\ISIC_0000004.jpg,OK,,1022,767,RGB
images\ISIC_0000006.jpg,OK,,1022,767,RGB
images\ISIC_0000007.jpg,OK,,1022,767,RGB
images\ISIC_0000008.jpg,OK,,1022,767,RGB
images\ISIC_0000009.jpg,OK,,1022,767,RGB
images\ISIC_0000010.jpg,OK,,1022,767,RGB
images\ISIC_0000011.jpg,OK,,1022,767,RGB
images\ISIC_0000012.jpg,OK,,1022,767,RGB
images\ISIC_0000013.jpg,OK,,1022,767,RGB
images\ISIC_0000014.jpg,OK,,1022,767,RGB
images\ISIC_0000015.jpg,OK,,1022,767,RGB
images\ISIC_0000016.jpg,OK,,1022,767,RGB
images\ISIC_0000017.jpg,OK,,1504,1129,RGB
images\ISIC_0000018.jpg,OK,,1504,1129,RGB
images\ISIC_0000019.jpg,OK,,1504,1129,RGB
images\ISIC_0000020.jpg,OK,,1504,1129,RGB
images\ISIC_0000021.jpg,OK,,1504,1129,RGB
images\ISIC_0000022.jpg,OK,,1504,1129,RGB
images\ISIC_0000023.jpg,OK,,1504,1129,RGB
images\ISIC_0000024.jpg,OK,,1504,1129,RGB
images\ISIC_0000025.jpg,OK,,1504,1129,RGB
images\ISIC_0000026.jpg,OK,,1504,1129,RGB
images\ISIC_0000027.jpg,OK,,1504,1129,RGB
images\ISIC_0000028.jpg,OK,,1504,1129,RGB
images\ISIC_0000029.jpg,OK,,1504,1129,RGB
images\ISIC_0000030.jpg,OK,,1503,1129,RGB
images\ISIC_0000031.jpg,OK,,1504,1129,RGB
images\ISIC_0000032.jpg,OK,,1504,1129,RGB
images\ISIC_0000034.jpg,OK,,1504,1129,RGB
images\ISIC_0000035.jpg,OK,,1504,1129,RGB
images\ISIC_0000036.jpg,OK,,1504,1129,RGB
images\ISIC_0000037.jpg,OK,,1504,1129,RGB
images\ISIC_0000038.jpg,OK,,1504,1129,RGB
images\ISIC_0000039.jpg,OK,,1504,1129,RGB
images\ISIC_0000040.jpg,OK,,1504,1129,RGB
images\ISIC_0000041.jpg,OK,,1504,1129,RGB
images\ISIC_0000042.jpg,OK,,1504,1129,RGB
images\ISIC_0000043.jpg,OK,,1504,1129,RGB
images\ISIC_0000044.jpg,OK,,1504,1129,RGB
images\ISIC_0000045.jpg,OK,,1504,1129,RGB
images\ISIC_0000046.jpg,OK,,1504,1129,RGB
images\ISIC_0000047.jpg,OK,,1504,1129,RGB
images\ISIC_0000048.jpg,OK,,1504,1129,RGB
images\ISIC_0000049.jpg,OK,,1504,1129,RGB
images\ISIC_0000050.jpg,OK,,1504,1129,RGB
images\ISIC_0000051.jpg,OK,,1504,1129,RGB
images\ISIC_0000052.jpg,OK,,1504,1129,RGB
images\ISIC_0000053.jpg,OK,,1504,1129,RGB
images\ISIC_0000054.jpg,OK,,1504,1129,RGB
images\ISIC_0000055.jpg,OK,,1504,1129,RGB
images\ISIC_0000056.jpg,OK,,1504,1129,RGB
images\ISIC_0000057.jpg,OK,,1504,1129,RGB
images\ISIC_0000058.jpg,OK,,1504,1129,RGB
images\ISIC_0000059.jpg,OK,,1504,1129,RGB
images\ISIC_0000060.jpg,OK,,1504,1129,RGB
images\ISIC_0000061.jpg,OK,,1504,1129,RGB
images\ISIC_0000062.jpg,OK,,1504,1129,RGB
images\ISIC_0000063.jpg,OK,,1504,1129,RGB
images\ISIC_0000064.jpg,OK,,1504,1129,RGB
images\ISIC_0000065.jpg,OK,,1504,1129,RGB
images\ISIC_0000066.jpg,OK,,962,722,RGB
images\ISIC_0000067.jpg,OK,,962,722,RGB
images\ISIC_0000068.jpg,OK,,962,722,RGB
images\ISIC_0000069.jpg,OK,,1022,767,RGB
images\ISIC_0000071.jpg,OK,,1022,767,RGB
images\ISIC_0000072.jpg,OK,,1022,767,RGB
images\ISIC_0000073.jpg,OK,,1022,767,RGB
images\ISIC_0000074.jpg,OK,,1022,767,RGB
images\ISIC_0000075.jpg,OK,,1022,767,RGB
images\ISIC_0000077.jpg,OK,,1504,1129,RGB
images\ISIC_0000078.jpg,OK,,1504,1129,RGB
images\ISIC_0000079.jpg,OK,,1504,1129,RGB
images\ISIC_0000080.jpg,OK,,2592,1944,RGB
images\ISIC_0000081.jpg,OK,,2048,1536,RGB
images\ISIC_0000082.jpg,OK,,2048,1536,RGB
images\ISIC_0000085.jpg,OK,,2048,1536,RGB
images\ISIC_0000086.jpg,OK,,2592,1944,RGB
images\ISIC_0000087.jpg,OK,,2048,1536,RGB
images\ISIC_0000088.jpg,OK,,2048,1536,RGB
images\ISIC_0000089.jpg,OK,,2048,1536,RGB
images\ISIC_0000091.jpg,OK,,2048,1536,RGB
images\ISIC_0000092.jpg,OK,,2048,1536,RGB
images\ISIC_0000093.jpg,OK,,2048,1536,RGB
images\ISIC_0000094.jpg,OK,,2048,1536,RGB
images\ISIC_0000095.jpg,OK,,2048,1536,RGB
images\ISIC_0000096.jpg,OK,,2048,1536,RGB
images\ISIC_0000097.jpg,OK,,2048,1536,RGB
images\ISIC_0000098.jpg,OK,,2048,1536,RGB
images\ISIC_0000099.jpg,OK,,2048,1536,RGB
images\ISIC_0000100.jpg,OK,,2272,1704,RGB
images\ISIC_0000101.jpg,OK,,2272,1704,RGB
images\ISIC_0000102.jpg,OK,,2048,1536,RGB
images\ISIC_0000103.jpg,OK,,2048,1536,RGB
images\ISIC_0000104.jpg,OK,,2048,1536,RGB
images\ISIC_0000105.jpg,OK,,2592,1944,RGB
images\ISIC_0000107.jpg,OK,,2048,1536,RGB
images\ISIC_0000108.jpg,OK,,2048,1536,RGB
images\ISIC_0000109.jpg,OK,,2048,1536,RGB
images\ISIC_0000110.jpg,OK,,2048,1536,RGB
images\ISIC_0000111.jpg,OK,,2048,1536,RGB
images\ISIC_0000112.jpg,OK,,2048,1536,RGB
images\ISIC_0000113.jpg,OK,,2816,2112,RGB
images\ISIC_0000114.jpg,OK,,2048,1536,RGB
images\ISIC_0000115.jpg,OK,,2048,1536,RGB
images\ISIC_0000116.jpg,OK,,2048,1536,RGB
images\ISIC_0000117.jpg,OK,,2048,1536,RGB
images\ISIC_0000118.jpg,OK,,2048,1536,RGB
images\ISIC_0000119.jpg,OK,,2048,1536,RGB
images\ISIC_0000120.jpg,OK,,2048,1536,RGB
images\ISIC_0000121.jpg,OK,,2048,1536,RGB
images\ISIC_0000122.jpg,OK,,2048,1536,RGB
images\ISIC_0000123.jpg,OK,,2048,1536,RGB
images\ISIC_0000124.jpg,OK,,2048,1536,RGB
images\ISIC_0000125.jpg,OK,,2048,1536,RGB
images\ISIC_0000126.jpg,OK,,2048,1536,RGB
images\ISIC_0000127.jpg,OK,,2048,1536,RGB
images\ISIC_0000128.jpg,OK,,2048,1536,RGB
images\ISIC_0000129.jpg,OK,,2048,1536,RGB
images\ISIC_0000130.jpg,OK,,2048,1536,RGB
images\ISIC_0000131.jpg,OK,,2048,1536,RGB
images\ISIC_0000132.jpg,OK,,2048,1536,RGB
images\ISIC_0000133.jpg,OK,,2048,1536,RGB
images\ISIC_0000134.jpg,OK,,2048,1536,RGB
images\ISIC_0000135.jpg,OK,,2272,1704,RGB
images\ISIC_0000136.jpg,OK,,2048,1536,RGB
images\ISIC_0000137.jpg,OK,,2048,1536,RGB
images\ISIC_0000138.jpg,OK,,2048,1536,RGB
images\ISIC_0000139.jpg,OK,,2816,2112,RGB
images\ISIC_0000140.jpg,OK,,2816,2112,RGB
images\ISIC_0000141.jpg,OK,,2048,1536,RGB
images\ISIC_0000142.jpg,OK,,2048,1536,RGB
images\ISIC_0000143.jpg,OK,,2592,1944,RGB
images\ISIC_0000145.jpg,OK,,2048,1536,RGB
images\ISIC_0000146.jpg,OK,,2048,1536,RGB
images\ISIC_0000147.jpg,OK,,2048,1536,RGB
images\ISIC_0000148.jpg,OK,,2816,2112,RGB
images\ISIC_0000149.jpg,OK,,2048,1536,RGB
images\ISIC_0000150.jpg,OK,,2048,1536,RGB
images\ISIC_0000151.jpg,OK,,2048,1536,RGB
images\ISIC_0000152.jpg,OK,,2592,1944,RGB
images\ISIC_0000153.jpg,OK,,2592,1944,RGB
images\ISIC_0000154.jpg,OK,,2048,1536,RGB
images\ISIC_0000155.jpg,OK,,2048,1536,RGB
images\ISIC_0000156.jpg,OK,,2048,1536,RGB
images\ISIC_0000157.jpg,OK,,963,629,RGB
images\ISIC_0000159.jpg,OK,,965,724,RGB
images\ISIC_0000160.jpg,OK,,722,540,RGB
images\ISIC_0000161.jpg,OK,,962,674,RGB
images\ISIC_0000162.jpg,OK,,964,640,RGB
images\ISIC_0000163.jpg,OK,,965,649,RGB
images\ISIC_0000164.jpg,OK,,959,638,RGB
images\ISIC_0000165.jpg,OK,,961,649,RGB
images\ISIC_0000166.jpg,OK,,722,542,RGB
images\ISIC_0000167.jpg,OK,,965,624,RGB
images\ISIC_0000169.jpg,OK,,722,542,RGB
images\ISIC_0000170.jpg,OK,,722,542,RGB
images\ISIC_0000171.jpg,OK,,964,720,RGB
images\ISIC_0000172.jpg,OK,,962,674,RGB
images\ISIC_0000173.jpg,OK,,722,545,RGB
images\ISIC_0000174.jpg,OK,,960,724,RGB
images\ISIC_0000175.jpg,OK,,966,638,RGB
images\ISIC_0000176.jpg,OK,,944,1127,RGB
images\ISIC_0000177.jpg,OK,,1069,703,RGB
images\ISIC_0000179.jpg,OK,,1502,1043,RGB
images\ISIC_0000181.jpg,OK,,1502,1051,RGB
images\ISIC_0000182.jpg,OK,,1502,1051,RGB
images\ISIC_0000183.jpg,OK,,1079,705,RGB
images\ISIC_0000184.jpg,OK,,1057,707,RGB
images\ISIC_0000185.jpg,OK,,1045,705,RGB
images\ISIC_0000186.jpg,OK,,1064,702,RGB
images\ISIC_0000187.jpg,OK,,722,542,RGB
images\ISIC_0000188.jpg,OK,,1502,1036,RGB
images\ISIC_0000189.jpg,OK,,1502,1051,RGB
images\ISIC_0000190.jpg,OK,,722,543,RGB
images\ISIC_0000191.jpg,OK,,1502,1051,RGB
images\ISIC_0000192.jpg,OK,,1502,1051,RGB
images\ISIC_0000193.jpg,OK,,1057,704,RGB
images\ISIC_0000195.jpg,OK,,1074,705,RGB
images\ISIC_0000196.jpg,OK,,1494,1036,RGB
images\ISIC_0000197.jpg,OK,,1502,1051,RGB
images\ISIC_0000198.jpg,OK,,725,542,RGB
images\ISIC_0000199.jpg,OK,,718,542,RGB
images\ISIC_0000200.jpg,OK,,962,670,RGB
images\ISIC_0000201.jpg,OK,,1043,705,RGB
images\ISIC_0000202.jpg,OK,,1502,1051,RGB
images\ISIC_0000203.jpg,OK,,1502,1051,RGB
images\ISIC_0000204.jpg,OK,,1456,1018,RGB
images\ISIC_0000205.jpg,OK,,1502,1026,RGB
images\ISIC_0000206.jpg,OK,,1502,1051,RGB
images\ISIC_0000207.jpg,OK,,1062,701,RGB
images\ISIC_0000208.jpg,OK,,1502,1051,RGB
images\ISIC_0000209.jpg,OK,,722,542,RGB
images\ISIC_0000210.jpg,OK,,722,542,RGB
images\ISIC_0000211.jpg,OK,,962,674,RGB
images\ISIC_0000212.jpg,OK,,722,542,RGB
images\ISIC_0000213.jpg,OK,,718,542,RGB
images\ISIC_0000214.jpg,OK,,958,642,RGB
images\ISIC_0000215.jpg,OK,,962,674,RGB
images\ISIC_0000216.jpg,OK,,949,626,RGB
images\ISIC_0000217.jpg,OK,,959,638,RGB
images\ISIC_0000218.jpg,OK,,1502,1016,RGB
images\ISIC_0000219.jpg,OK,,962,674,RGB
images\ISIC_0000220.jpg,OK,,962,674,RGB
images\ISIC_0000221.jpg,OK,,962,671,RGB
images\ISIC_0000222.jpg,OK,,966,645,RGB
images\ISIC_0000223.jpg,OK,,959,634,RGB
images\ISIC_0000224.jpg,OK,,957,640,RGB
images\ISIC_0000225.jpg,OK,,957,723,RGB
images\ISIC_0000226.jpg,OK,,964,672,RGB
images\ISIC_0000227.jpg,OK,,959,723,RGB
images\ISIC_0000228.jpg,OK,,959,639,RGB
images\ISIC_0000229.jpg,OK,,962,641,RGB
images\ISIC_0000230.jpg,OK,,962,674,RGB
images\ISIC_0000231.jpg,OK,,962,723,RGB
images\ISIC_0000232.jpg,OK,,960,645,RGB
images\ISIC_0000233.jpg,OK,,962,674,RGB
images\ISIC_0000234.jpg,OK,,962,676,RGB
images\ISIC_0000235.jpg,OK,,724,542,RGB
images\ISIC_0000236.jpg,OK,,1024,768,RGB
images\ISIC_0000237.jpg,OK,,1024,768,RGB
images\ISIC_0000239.jpg,OK,,1024,768,RGB
images\ISIC_0000240.jpg,OK,,1024,768,RGB
images\ISIC_0000242.jpg,OK,,1024,768,RGB
images\ISIC_0000243.jpg,OK,,576,768,RGB
images\ISIC_0000244.jpg,OK,,1024,768,RGB
images\ISIC_0000245.jpg,OK,,1024,768,RGB
images\ISIC_0000246.jpg,OK,,1024,768,RGB
images\ISIC_0000247.jpg,OK,,1024,768,RGB
images\ISIC_0000249.jpg,OK,,1024,768,RGB
images\ISIC_0000250.jpg,OK,,1024,768,RGB
images\ISIC_0000251.jpg,OK,,1024,768,RGB
images\ISIC_0000252.jpg,OK,,576,768,RGB
images\ISIC_0000253.jpg,OK,,576,768,RGB
images\ISIC_0000254.jpg,OK,,1024,768,RGB
images\ISIC_0000255.jpg,OK,,1024,768,RGB
images\ISIC_0000256.jpg,OK,,1024,768,RGB
images\ISIC_0000258.jpg,OK,,1024,768,RGB
images\ISIC_0000259.jpg,OK,,1024,768,RGB
images\ISIC_0000260.jpg,OK,,1024,768,RGB
images\ISIC_0000261.jpg,OK,,1024,768,RGB
