column,description,dtype,n_unique,missing_count,missing_pct,sample_values
isic_id,Unique image identifier; corresponding file is f'{isic_id}.jpg' under images/.,str,25331,0,0.0,"ISIC_0000000, ISIC_0000001, ISIC_0000002, ISIC_0000003, ISIC_0000004"
attribution,Contributing institution/source.,str,3,0,0.0,"Anonymous, ViDIR Group, Department of Dermatology, Medical University of Vienna, Hospital Clínic de Barcelona"
copyright_license,"Image usage license (e.g. CC-0, CC-BY-NC).",str,2,0,0.0,"CC-0, CC-BY-NC"
age_approx,"Patient age in years, rounded/approximated.",float64,18,482,1.9,"55.0, 30.0, 60.0, 80.0, 25.0"
anatom_site_1,"Anatomical site, coarsest level (e.g. Trunk, Head/neck).",str,5,1618,6.39,"Trunk, Upper extremity, Lower extremity, Anogenital region, Head and neck"
anatom_site_2,"Anatomical site, level 2 (more specific than anatom_site_1).",str,18,13404,52.92,"Anterior trunk, Posterior trunk, Genital region, Shoulder, Lateral trunk"
anatom_site_3,"Anatomical site, level 3.",str,31,22167,87.51,"Anterior abdomen, Anterior chest, Perigenital region, Toes, Lower back"
anatom_site_4,"Anatomical site, level 4 (rarely populated).",str,24,25092,99.06,"Breast, Suprapubic region, Great toe, Upper anterior chest, Upper medial thigh"
anatom_site_5,"Anatomical site, level 5 (rarely populated).",str,12,25292,99.85,"Mons pubis, Areola, Clavicle, Lower cheek, Lip"
anatom_site_general,"Anatomical site, ISIC's standard general category.",str,8,2582,10.19,"anterior torso, upper extremity, posterior torso, lower extremity, lateral torso"
anatom_site_special,"Anatomical site special-case flag (e.g. acral, mucosal).",str,3,24371,96.21,"oral or genital, acral NOS, acral palms or soles"
clin_size_long_diam_mm,"Clinically measured longest lesion diameter, in mm.",float64,37,24775,97.81,"4.0, 3.0, 5.0, 10.0, 9.0"
concomitant_biopsy,Whether a concomitant biopsy was taken (boolean).,bool,2,0,0.0,"False, True"
dermoscopic_type,"Dermoscopy imaging sub-type, when recorded.",str,1,23901,94.35,contact non-polarized
diagnosis_1,Coarsest diagnosis level: Benign / Malignant / Indeterminate.,str,3,0,0.0,"Benign, Malignant, Indeterminate"
diagnosis_2,Diagnosis level 2: broad pathological category (e.g. 'Benign melanocytic proliferations').,str,10,0,0.0,"Benign melanocytic proliferations, Malignant melanocytic proliferations (Melanoma), Collision - Only benign proliferations, Benign epidermal proliferations, Indeterminate melanocytic proliferations"
diagnosis_3,"Diagnosis level 3: specific disease name (e.g. Nevus, Melanoma NOS, Basal cell carcinoma) - the finest level populated for nearly all rows; used as the primary class label for this archive.",str,13,255,1.01,"Nevus, Melanoma, NOS, Melanoma Invasive, Melanoma in situ, Epidermal nevus"
diagnosis_4,Diagnosis level 4: disease sub-type detail (mostly populated only for nevi/melanoma).,str,21,24355,96.15,"Nevus, Atypical, Dysplastic, or Clark, Melanoma Invasive, On chronically sun-exposed skin or lentigo maligna melanoma, Blue nevus, Nevus, Congenital, Nevus, Spitz"
diagnosis_5,Diagnosis level 5: finest sub-type detail (rarely populated).,str,5,24917,98.37,"Nevus, Dysplastic, Nevus, Clark, Nevus, Atypical, Nevus, Congenital, by histopathological pattern, Blue nevus, Common"
diagnosis_confirm_type,"How the diagnosis was confirmed (histopathology, serial imaging, expert consensus, confocal microscopy).",str,4,2459,9.71,"histopathology, single image expert consensus, serial imaging showing no change, confocal microscopy with consensus dermoscopy"
family_hx_mm,Family history of melanoma (boolean/blank).,object,2,24786,97.85,"False, True"
image_type,Imaging modality; constant 'dermoscopic' for this archive.,str,1,0,0.0,dermoscopic
lesion_id,Lesion identifier grouping multiple images of the same lesion; NOT populated for every row.,str,12264,1667,6.58,"IL_4127521, IL_6236075, IL_9493284, IL_0441919, IL_6270299"
melanocytic,Whether the lesion is of melanocytic origin (boolean).,bool,2,0,0.0,"True, False"
patient_id,Patient identifier; populated for only a small subset of rows.,str,369,24914,98.35,"IP_8773121, IP_9861862, IP_2406297, IP_4366442, IP_4281851"
personal_hx_mm,Personal history of melanoma (boolean/blank).,object,2,24776,97.81,"False, True"
sex,Patient sex.,str,2,384,1.52,"female, male"
