column,missing_count,missing_pct,dtype
anatom_site_5,25292,99.85,str
anatom_site_4,25092,99.06,str
diagnosis_5,24917,98.37,str
patient_id,24914,98.35,str
family_hx_mm,24786,97.85,object
clin_size_long_diam_mm,24775,97.81,float64
personal_hx_mm,24776,97.81,object
anatom_site_special,24371,96.21,str
diagnosis_4,24355,96.15,str
dermoscopic_type,23901,94.35,str
anatom_site_3,22167,87.51,str
anatom_site_2,13404,52.92,str
anatom_site_general,2582,10.19,str
diagnosis_confirm_type,2459,9.71,str
lesion_id,1667,6.58,str
anatom_site_1,1618,6.39,str
age_approx,482,1.9,float64
sex,384,1.52,str
diagnosis_3,255,1.01,str
attribution,0,0.0,str
isic_id,0,0.0,str
copyright_license,0,0.0,str
concomitant_biopsy,0,0.0,bool
diagnosis_2,0,0.0,str
diagnosis_1,0,0.0,str
image_type,0,0.0,str
melanocytic,0,0.0,bool
