relative_path,status,error_message,width,height,mode
imgs_part_1\PAT_100_393_595.png,OK,,394,394,RGBA
imgs_part_1\PAT_100_393_898.png,OK,,221,221,RGBA
imgs_part_1\PAT_101_1041_651.png,OK,,1131,1131,RGBA
imgs_part_1\PAT_101_1041_658.png,OK,,741,740,RGBA
imgs_part_1\PAT_101_1041_898.png,OK,,1795,1796,RGBA
imgs_part_1\PAT_104_1754_276.png,OK,,1104,1104,RGB
imgs_part_1\PAT_104_1755_320.png,OK,,1001,1001,RGB
imgs_part_1\PAT_104_1756_151.png,OK,,715,715,RGB
imgs_part_1\PAT_106_158_249.png,OK,,1040,1039,RGBA
imgs_part_1\PAT_106_158_270.png,OK,,1172,1172,RGBA
imgs_part_1\PAT_106_159_325.png,OK,,516,515,RGBA
imgs_part_1\PAT_107_160_609.png,OK,,926,927,RGBA
imgs_part_1\PAT_108_161_423.png,OK,,1145,1145,RGB
imgs_part_1\PAT_108_161_575.png,OK,,1243,1243,RGB
imgs_part_1\PAT_108_161_878.png,OK,,883,883,RGBA
imgs_part_1\PAT_108_162_526.png,OK,,855,855,RGB
imgs_part_1\PAT_108_162_660.png,OK,,1197,1197,RGB
imgs_part_1\PAT_108_424_944.png,OK,,2176,2176,RGB
imgs_part_1\PAT_109_868_113.png,OK,,789,789,RGB
imgs_part_1\PAT_109_868_723.png,OK,,470,470,RGB
imgs_part_1\PAT_10_18_830.png,OK,,1035,1035,RGBA
imgs_part_1\PAT_110_165_583.png,OK,,1253,1253,RGB
imgs_part_1\PAT_110_397_52.png,OK,,2445,2445,RGB
imgs_part_1\PAT_112_168_360.png,OK,,620,620,RGBA
imgs_part_1\PAT_112_171_863.png,OK,,1220,1220,RGB
imgs_part_1\PAT_113_172_610.png,OK,,948,948,RGBA
imgs_part_1\PAT_114_173_213.png,OK,,284,284,RGBA
imgs_part_1\PAT_115_1138_870.png,OK,,236,236,RGBA
imgs_part_1\PAT_115_1138_970.png,OK,,750,750,RGB
imgs_part_1\PAT_115_175_206.png,OK,,433,433,RGBA
imgs_part_1\PAT_115_175_283.png,OK,,534,534,RGBA
imgs_part_1\PAT_115_176_455.png,OK,,750,750,RGB
imgs_part_1\PAT_115_177_575.png,OK,,750,750,RGB
imgs_part_1\PAT_115_177_622.png,OK,,545,545,RGBA
imgs_part_1\PAT_117_179_983.png,OK,,1726,1726,RGBA
imgs_part_1\PAT_118_180_386.png,OK,,741,742,RGBA
imgs_part_1\PAT_118_180_500.png,OK,,571,571,RGBA
imgs_part_1\PAT_119_181_684.png,OK,,817,816,RGBA
imgs_part_1\PAT_120_183_623.png,OK,,678,678,RGB
imgs_part_1\PAT_121_184_502.png,OK,,289,289,RGBA
imgs_part_1\PAT_122_185_957.png,OK,,366,366,RGBA
imgs_part_1\PAT_122_869_60.png,OK,,579,578,RGBA
imgs_part_1\PAT_123_186_718.png,OK,,976,977,RGBA
imgs_part_1\PAT_123_187_164.png,OK,,627,626,RGBA
imgs_part_1\PAT_126_190_376.png,OK,,417,418,RGBA
