column,dtype,n_unique,n_missing
patient_id,str,1373,0
lesion_id,int64,1641,0
smoke,object,2,804
drink,object,2,804
background_father,str,13,818
background_mother,str,11,822
age,int64,84,0
pesticide,object,2,804
gender,str,2,804
skin_cancer_history,object,2,804
cancer_history,object,2,804
has_piped_water,object,2,804
has_sewage_system,object,2,804
fitspatrick,float64,6,804
region,str,14,0
diameter_1,float64,42,804
diameter_2,float64,38,804
diagnostic,str,6,0
itch,str,3,0
grew,str,3,0
hurt,str,3,0
changed,str,3,0
bleed,str,3,0
elevation,str,3,0
img_id,str,2298,0
biopsed,bool,2,0
