column,description,dtype,n_unique,missing_count,missing_pct,sample_values
patient_id,Unique identifier for the patient.,str,1373,0,0.0,"PAT_1516, PAT_46, PAT_1545, PAT_1989, PAT_684"
lesion_id,Unique identifier for the lesion (a patient may have multiple lesions).,int64,1641,0,0.0,"1765, 881, 1867, 4061, 1302"
smoke,"Whether the patient is a smoker (boolean, self-reported).",object,2,804,34.99,"False, True"
drink,"Whether the patient consumes alcohol (boolean, self-reported).",object,2,804,34.99,"False, True"
background_father,Father's ethnic/regional background (self-reported).,str,13,818,35.6,"POMERANIA, GERMANY, BRAZIL, NETHERLANDS, ITALY"
background_mother,Mother's ethnic/regional background (self-reported).,str,11,822,35.77,"POMERANIA, ITALY, GERMANY, BRAZIL, UNK"
age,Patient age in years.,int64,84,0,0.0,"8, 55, 77, 75, 79"
pesticide,Whether the patient has occupational/residential pesticide exposure (boolean).,object,2,804,34.99,"False, True"
gender,Patient gender (MALE/FEMALE).,str,2,804,34.99,"FEMALE, MALE"
skin_cancer_history,Whether the patient has a personal history of skin cancer (boolean).,object,2,804,34.99,"True, False"
cancer_history,Whether the patient has a personal history of any cancer (boolean).,object,2,804,34.99,"True, False"
has_piped_water,"Household has piped water access (socioeconomic indicator, boolean).",object,2,804,34.99,"True, False"
has_sewage_system,"Household has a sewage system (socioeconomic indicator, boolean).",object,2,804,34.99,"True, False"
fitspatrick,"Fitzpatrick skin type scale (1-6; higher = darker skin, lower UV sensitivity).",float64,6,804,34.99,"3.0, 1.0, 2.0, 4.0, 5.0"
region,Anatomical location of the lesion on the body.,str,14,0,0.0,"ARM, NECK, FACE, HAND, FOREARM"
diameter_1,"Lesion diameter measurement, axis 1, in millimeters.",float64,42,804,34.99,"6.0, 5.0, 15.0, 9.0, 20.0"
diameter_2,"Lesion diameter measurement, axis 2, in millimeters.",float64,38,804,34.99,"5.0, 10.0, 7.0, 4.0, 18.0"
diagnostic,"Diagnostic label / target class (e.g. BCC, MEL, SCC, ACK, NEV, SEK).",str,6,0,0.0,"NEV, BCC, ACK, SEK, SCC"
itch,Whether the lesion itches (boolean symptom).,str,3,0,0.0,"FALSE, TRUE, UNK"
grew,Whether the lesion has grown recently (boolean symptom).,str,3,0,0.0,"FALSE, TRUE, UNK"
hurt,Whether the lesion is painful (boolean symptom).,str,3,0,0.0,"FALSE, TRUE, UNK"
changed,Whether the lesion has changed in appearance recently (boolean symptom).,str,3,0,0.0,"FALSE, TRUE, UNK"
bleed,Whether the lesion bleeds (boolean symptom).,str,3,0,0.0,"FALSE, TRUE, UNK"
elevation,Whether the lesion is elevated/raised (boolean symptom).,str,3,0,0.0,"FALSE, TRUE, UNK"
img_id,Filename of the corresponding lesion image.,str,2298,0,0.0,"PAT_1516_1765_530.png, PAT_46_881_939.png, PAT_1545_1867_547.png, PAT_1989_4061_934.png, PAT_684_1302_588.png"
biopsed,Whether the diagnosis was confirmed via biopsy (True) or clinical judgment only (False).,bool,2,0,0.0,"False, True"
