image_path,width,height,aspect_ratio,size_kb
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000529.jpg,1028,753,1.3652,379.76
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0024984.jpg,600,450,1.3333,253.5
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0000554.jpg,824,719,1.146,41.0
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000062.jpg,1504,1129,1.3322,94.37
data/raw/ISIC_Archive_1/Train/actinic keratosis/ISIC_0031108.jpg,600,450,1.3333,133.74
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0000146.jpg,2048,1536,1.3333,1215.02
data/raw/ISIC_Archive_1/Train/dermatofibroma/ISIC_0032941.jpg,600,450,1.3333,275.36
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0029391.jpg,600,450,1.3333,206.05
data/raw/ISIC_Archive_1/Train/vascular lesion/ISIC_0034196.jpg,600,450,1.3333,265.02
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0026668.jpg,600,450,1.3333,354.19
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000073.jpg,1022,767,1.3325,39.19
data/raw/ISIC_Archive_1/Train/vascular lesion/ISIC_0029877.jpg,600,450,1.3333,336.73
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0010730.jpg,1024,768,1.3333,243.68
data/raw/ISIC_Archive_1/Train/vascular lesion/ISIC_0032409.jpg,600,450,1.3333,311.79
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000426.jpg,3072,2304,1.3333,766.26
data/raw/ISIC_Archive_1/Train/squamous cell carcinoma/ISIC_0032203.jpg,600,450,1.3333,185.59
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000453.jpg,3072,2304,1.3333,741.01
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0031470.jpg,600,450,1.3333,216.49
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0027710.jpg,600,450,1.3333,349.95
data/raw/ISIC_Archive_1/Train/dermatofibroma/ISIC_0026254.jpg,600,450,1.3333,348.74
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000234.jpg,962,676,1.4231,50.85
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0026291.jpg,600,450,1.3333,338.76
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0000159.jpg,965,724,1.3329,47.95
data/raw/ISIC_Archive_1/Train/squamous cell carcinoma/ISIC_0031421.jpg,600,450,1.3333,223.3
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0000145.jpg,2048,1536,1.3333,1114.1
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0030261.jpg,600,450,1.3333,238.32
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0025842.jpg,600,450,1.3333,246.78
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0028473.jpg,600,450,1.3333,222.93
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0027584.jpg,600,450,1.3333,270.37
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0027629.jpg,600,450,1.3333,257.17
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0026409.jpg,600,450,1.3333,323.12
data/raw/ISIC_Archive_1/Train/squamous cell carcinoma/ISIC_0025831.jpg,600,450,1.3333,205.25
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0027454.jpg,600,450,1.3333,241.59
data/raw/ISIC_Archive_1/Train/dermatofibroma/ISIC_0031735.jpg,600,450,1.3333,267.85
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0026298.jpg,600,450,1.3333,250.04
data/raw/ISIC_Archive_1/Train/dermatofibroma/ISIC_0031257.jpg,600,450,1.3333,358.59
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0028587.jpg,600,450,1.3333,342.48
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0029644.jpg,600,450,1.3333,225.49
data/raw/ISIC_Archive_1/Train/squamous cell carcinoma/ISIC_0025182.jpg,600,450,1.3333,234.3
data/raw/ISIC_Archive_1/Train/actinic keratosis/ISIC_0031609.jpg,600,450,1.3333,231.42
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000472.jpg,919,802,1.1459,459.77
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000027.jpg,1504,1129,1.3322,83.44
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0026940.jpg,600,450,1.3333,238.59
data/raw/ISIC_Archive_1/Train/nevus/ISIC_0000421.jpg,3072,2304,1.3333,772.63
data/raw/ISIC_Archive_1/Train/actinic keratosis/ISIC_0031823.jpg,600,450,1.3333,279.05
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0025260.jpg,600,450,1.3333,319.69
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0010608.jpg,1024,768,1.3333,76.76
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0024626.jpg,600,450,1.3333,306.28
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0027270.jpg,600,450,1.3333,326.77
data/raw/ISIC_Archive_1/Train/vascular lesion/ISIC_0031276.jpg,600,450,1.3333,301.21
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0031413.jpg,600,450,1.3333,212.76
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0031442.jpg,600,450,1.3333,258.17
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0026056.jpg,600,450,1.3333,177.14
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0026958.jpg,600,450,1.3333,350.81
data/raw/ISIC_Archive_1/Train/pigmented benign keratosis/ISIC_0026530.jpg,600,450,1.3333,270.48
data/raw/ISIC_Archive_1/Train/dermatofibroma/ISIC_0025314.jpg,600,450,1.3333,335.25
data/raw/ISIC_Archive_1/Train/squamous cell carcinoma/ISIC_0025471.jpg,600,450,1.3333,211.48
data/raw/ISIC_Archive_1/Train/basal cell carcinoma/ISIC_0027722.jpg,600,450,1.3333,248.22
data/raw/ISIC_Archive_1/Train/melanoma/ISIC_0010000.jpg,1024,768,1.3333,186.21
