image_path,width,height,aspect_ratio,size_kb
data/raw/PAD_UFES20/imgs_part_1/PAT_540_1016_644.png,584,584,1.0,751.38
data/raw/PAD_UFES20/imgs_part_3/PAT_2097_4557_241.png,696,697,0.9986,616.21
data/raw/PAD_UFES20/imgs_part_2/PAT_940_1774_962.png,546,546,1.0,748.51
data/raw/PAD_UFES20/imgs_part_1/PAT_162_252_773.png,931,931,1.0,1649.25
data/raw/PAD_UFES20/imgs_part_3/PAT_1593_2652_422.png,750,750,1.0,713.92
data/raw/PAD_UFES20/imgs_part_3/PAT_2114_4609_615.png,1228,1228,1.0,2460.53
data/raw/PAD_UFES20/imgs_part_1/PAT_233_354_828.png,1722,1723,0.9994,2500.67
data/raw/PAD_UFES20/imgs_part_1/PAT_346_720_265.png,964,963,1.001,1290.08
data/raw/PAD_UFES20/imgs_part_3/PAT_1597_2666_130.png,298,298,1.0,45.44
data/raw/PAD_UFES20/imgs_part_2/PAT_766_1444_52.png,965,965,1.0,896.06
data/raw/PAD_UFES20/imgs_part_2/PAT_735_1391_683.png,863,863,1.0,901.32
data/raw/PAD_UFES20/imgs_part_3/PAT_1329_1167_230.png,519,519,1.0,336.36
data/raw/PAD_UFES20/imgs_part_3/PAT_1170_609_378.png,1051,1051,1.0,1140.4
data/raw/PAD_UFES20/imgs_part_3/PAT_1913_3815_367.png,485,485,1.0,501.1
data/raw/PAD_UFES20/imgs_part_3/PAT_1453_1566_310.png,640,640,1.0,664.88
data/raw/PAD_UFES20/imgs_part_2/PAT_882_1677_789.png,1059,1060,0.9991,2276.83
data/raw/PAD_UFES20/imgs_part_2/PAT_1006_53_716.png,262,262,1.0,69.91
data/raw/PAD_UFES20/imgs_part_1/PAT_59_93_573.png,1657,1658,0.9994,3239.25
data/raw/PAD_UFES20/imgs_part_1/PAT_247_1293_449.png,1773,1773,1.0,2729.11
data/raw/PAD_UFES20/imgs_part_2/PAT_858_1633_926.png,967,967,1.0,1534.21
data/raw/PAD_UFES20/imgs_part_3/PAT_1653_2916_994.png,648,648,1.0,347.24
data/raw/PAD_UFES20/imgs_part_1/PAT_246_377_159.png,587,586,1.0017,678.35
data/raw/PAD_UFES20/imgs_part_1/PAT_564_1079_31.png,1145,1145,1.0,1433.11
data/raw/PAD_UFES20/imgs_part_2/PAT_1064_272_668.png,271,271,1.0,90.26
data/raw/PAD_UFES20/imgs_part_3/PAT_1582_2574_34.png,218,218,1.0,74.46
data/raw/PAD_UFES20/imgs_part_1/PAT_236_1071_810.png,283,283,1.0,142.8
data/raw/PAD_UFES20/imgs_part_2/PAT_664_1263_781.png,498,498,1.0,558.23
